,name,model,actual price,old price,discount
1010,adidas,Futurecraft 4D,"110,00","220,00",50%
1011,Reebok,Zig Kinetica II Edg,"65,00","130,00",50%
1012,adidas,Sichona x Humanrace,"108,00","180,00",40%
1013,Comme des Garçons Shirt,Tarther SC x Asics,"182,50","365,00",50%
1014,Comme des Garçons Shirt,Tarther SC x Asics,"182,50","365,00",50%
1015,Nike,Flow 2020 ISPA,"90,00","180,00",50%
1016,MCQ,BR7 Aratana,"130,00","260,00",50%
1017,adidas,Cassina PT,"50,00","100,00",50%
1018,Vans,EVDNT RW Ultimate Waffle,"125,00","125,00",0%
1019,Nike SB,Blazer Court,"65,00","65,00",0%
1020,Nike,Women's Air Max 95,"85,00","170,00",50%
1021,Nike SB,Nyjah Free 2,"95,00","95,00",0%
1022,Converse,Run Star Veloz OX,"65,00","130,00",50%
1023,Converse,Run Star Veloz OX,"65,00","130,00",50%
1024,Jordan,"Jordan 4 Retro (PS) ""Lightning""","80,00","80,00",0%
1025,Puma,Basket Vintage x Butter Goods,"71,50","130,00",45%
1026,Puma,Basket Vintage x Butter Goods,"65,00","130,00",50%
1027,Crocs,Classic Clog x Sankuanz,"150,00","150,00",0%
1028,Crocs,Classic Clog x Sankuanz,"150,00","150,00",0%
1029,Crocs,Classic Clog x Sankuanz,"150,00","150,00",0%
1030,Reebok,Women's CL Leather x Cardi B,"60,00","120,00",50%
1031,Reebok,CL Legacy AZ,"50,00","100,00",50%
1032,Converse,Chuck 70 Canvas LTD Hi,"85,00","170,00",50%
1033,Reebok,CL Legacy AZ,"50,00","100,00",50%
1034,Reebok,CL Legacy AZ,"50,00","100,00",50%
1035,Reebok,CL Legacy AZ,"50,00","100,00",50%
1036,adidas,Ozelia,"55,00","110,00",50%
1037,Converse,Skidgrip OX x John Elliott,"65,00","130,00",50%
1038,Converse,Skidgrip OX x John Elliott,"65,00","130,00",50%
1039,Converse,"Run Star Hike Hi Crater ""Hybrid Texture""","60,00","120,00",50%
1040,Converse,Chuck 70 Canvas LTD Hi,"85,00","170,00",50%
1041,adidas,"Forum Wings 1.0 ""Money"" x Jeremy Scott","200,00","200,00",0%
1042,Asics,"Gel-1090 x Bape ""Camo""","140,00","140,00",0%
1043,Reebok,"CL Leather ""Human Rights Now""","50,00","100,00",50%
1044,Reebok,"CL Leather ""Human Rights Now""","50,00","100,00",50%
